epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0185,2.12171,4.24229,1.46177,0.04776,0.0668,0.03257,0.01832,1.90956,4.23125,1.14095,5.454e-05,5.454e-05,5.454e-05
2,93.6837,1.8444,3.43348,1.19208,0.07701,0.1336,0.10912,0.05764,1.80936,4.10548,1.06099,0.00011583,0.00011583,0.00011583
3,140.015,1.68984,2.06906,1.08108,0.1211,0.25911,0.21917,0.13599,1.66196,3.75178,1.01289,0.000174601,0.000174601,0.000174601
4,186.58,1.56466,1.60607,1.03601,0.17865,0.34211,0.31284,0.19622,1.65099,3.59402,1.01697,0.000230851,0.000230851,0.000230851
5,232.163,1.501,1.44698,1.0152,0.13061,0.36538,0.31437,0.19831,1.61701,3.4636,1.00683,0.000284582,0.000284582,0.000284582
6,274.473,1.43733,1.33502,0.9966,0.14595,0.38259,0.35721,0.23277,1.52476,3.34523,0.98606,0.000335794,0.000335794,0.000335794
7,319.891,1.37794,1.24479,0.99793,0.17104,0.36943,0.3628,0.23825,1.43763,3.23845,0.97647,0.000384485,0.000384485,0.000384485
8,366.815,1.35213,1.11202,0.98872,0.18598,0.39954,0.36767,0.24204,1.44572,3.12769,0.98363,0.000430657,0.000430657,0.000430657
9,412.998,1.31404,1.06092,0.97073,0.13741,0.52392,0.41955,0.24941,1.46372,2.84397,0.99196,0.000474309,0.000474309,0.000474309
10,458.996,1.31452,1.01428,0.96742,0.11873,0.59252,0.47119,0.27264,1.43079,2.63156,0.99887,0.000515441,0.000515441,0.000515441
11,505.269,1.28465,0.99139,0.95194,0.11755,0.61089,0.48051,0.27216,1.45939,2.5341,1.02391,0.000554054,0.000554054,0.000554054
12,548.166,1.27597,0.97498,0.975,0.55703,0.64035,0.60318,0.44524,1.51009,2.31156,1.03167,0.000590146,0.000590146,0.000590146
13,593.657,1.25783,0.94551,0.95225,0.54981,0.66011,0.59833,0.45004,1.38188,2.2068,0.97385,0.000623719,0.000623719,0.000623719
14,639.455,1.20505,0.90416,0.94494,0.54654,0.68444,0.62163,0.45004,1.46921,2.00615,0.99859,0.000654773,0.000654773,0.000654773
15,686.533,1.23071,0.90886,0.95733,0.54035,0.71394,0.61718,0.45732,1.31774,1.71024,0.93213,0.000657025,0.000657025,0.000657025
16,732.64,1.15761,0.89042,0.9378,0.56318,0.68147,0.62743,0.45945,1.36805,1.51928,0.96448,0.000639027,0.000639027,0.000639027
17,779.6,1.23075,0.90031,0.95059,1,0.71607,0.858,0.71049,1.30142,1.43797,0.94079,0.000621029,0.000621029,0.000621029
18,824.56,1.20925,0.8798,0.93845,1,0.74494,0.8723,0.72263,1.24481,1.19287,0.93666,0.000603031,0.000603031,0.000603031
19,870.263,1.16485,0.85706,0.93069,1,0.74584,0.87288,0.72717,1.21494,1.05952,0.94377,0.000585032,0.000585032,0.000585032
20,912.045,1.19757,0.87151,0.93991,1,0.75367,0.87674,0.73185,1.19581,1.04758,0.94287,0.000567034,0.000567034,0.000567034
21,959.17,1.18159,0.85881,0.93723,1,0.76934,0.88448,0.7322,1.20447,1.0294,0.94031,0.000549036,0.000549036,0.000549036
22,1005.81,1.16222,0.82026,0.93307,1,0.75671,0.8782,0.73521,1.14242,0.94923,0.92435,0.000531038,0.000531038,0.000531038
23,1053.19,1.12591,0.8372,0.93669,1,0.75664,0.87816,0.73715,1.11589,0.89978,0.91807,0.00051304,0.00051304,0.00051304
24,1239.13,1.07245,0.79422,0.92008,1,0.77126,0.88546,0.73831,1.12578,0.91085,0.92057,0.000495041,0.000495041,0.000495041
25,1284.32,1.11074,0.78959,0.91667,1,0.76833,0.884,0.74053,1.09644,0.90414,0.913,0.000477043,0.000477043,0.000477043
26,1326.17,1.1064,0.79785,0.92221,0.78904,0.62952,0.68978,0.509,1.08093,0.85554,0.9132,0.000459045,0.000459045,0.000459045
27,1372.69,1.08731,0.79217,0.91492,0.78995,0.63443,0.69555,0.50936,1.09072,0.85933,0.91705,0.000441047,0.000441047,0.000441047
28,1418.77,1.11865,0.83034,0.93131,0.80348,0.62637,0.69311,0.51093,1.08131,0.85941,0.92031,0.000423049,0.000423049,0.000423049
